, , ,BARRA DESAYUNO, , , , , , , , , , , ,BARRA TRADICIONAL, , , , , , , , , , , ,BARRA SHOW, , , , , , , , , , , ,BARRA VARIEDAD, , , , , , , , , , , ,BARRA BURRITOS, , , , , , , , , , 
Category,Monday Date,Lunes Nombre,D_Category,D_Monday Date,D_Lunes Nombre,D_Lunes Opciones,D_Martes Nombre,D_Martes Opciones,D_Miércoles Nombre,D_Miércoles Opciones,D_Jueves Nombre,D_Jueves Opciones,D_Viernes Nombre,D_Viernes Opciones,T_Category,T_Monday Date,T_Lunes Nombre,T_Lunes Opciones,T_Martes Nombre,T_Martes Opciones,T_Miércoles Nombre,T_Miércoles Opciones,T_Jueves Nombre,T_Jueves Opciones,T_Viernes Nombre,T_Viernes Opciones,S_Category,S_Monday Date,S_Lunes Nombre,S_Lunes Opciones,S_Martes Nombre,S_Martes Opciones,S_Miércoles Nombre,S_Miércoles Opciones,S_Jueves Nombre,S_Jueves Opciones,S_Viernes Nombre,S_Viernes Opciones,V_Category,V_Monday Date,V_Lunes Nombre,V_Lunes Opciones,V_Martes Nombre,V_Martes Opciones,V_Miércoles Nombre,V_Miércoles Opciones,V_Jueves Nombre,V_Jueves Opciones,V_Viernes Nombre,V_Viernes Opciones,B_Category,B_Monday Date,B_Lunes Nombre,B_Lunes Opciones,B_Martes Nombre,B_Martes Opciones,B_Miércoles Nombre,B_Miércoles Opciones,B_Jueves Nombre,B_Jueves Opciones,B_Viernes Nombre,B_Viernes Opciones
config,STATUS,ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMANA 1,2026-02-16,,-,2026-02-16,-,-,-,-,-,-,-,-,-,-,-,2026-02-16,-,-,-,-,-,-,-,-,-,-,-,2026-02-16,-,-,-,-,-,-,-,-,-,-,-,2026-02-16,-,-,-,-,-,-,-,-,-,-,-,2026-02-16,-,-,-,-,-,-,-,-,-,-
,,-,desayuno_principal,,Huevo revuelto,Tocino,Chilaquiles,Pollo,Avena,Fresa,Yogurt,Granola,Hot Cakes,Miel,plato_fuerte,,Picadillo,Salsa roja,Pollo Asado,Puré,Estofado,,Enchiladas,Crema,Pescado,,show_principal,,Tacos de Pastor,Salsa,Tacos de Res,Limón,Gringas,,Quesadillas,,Tacos Dorados,,variedad_tipo,,Sushi,Soya,Pizza,Salsa,Hamburguesa,Papas,Hot Dog,,Alitas,,burrito_1,,Huevo a la Mexicana,,Huevo con chorizo,,Huevo con jamón,,Huevo con chorizo,,Huevo con machaca,
,,-,desayuno_opcion1,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,burrito_2,,Frijoles con Queso,,Frijoles con Queso,,Frijoles con Queso,,Frijoles con Queso,,Frijoles con Queso,
,,-,desayuno_opcion2,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,burrito_3,,Papas con Chorizo,,Papas con Tocino,,Papas con Chorizo,,Papas con Tocino,,Papas a la Mexicana,
,,-,guarnicion_1,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,burrito_4,,Chicharrón en Verde,,Deshebrada Verde,,Chicharrón en Verde,,Deshebrada en Verde,,Chicharrón en Verde,
,,-,acompañamiento,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,burrito_5,,Chicharrón Prensado,,Puerco ch. pasado,,Discada,,Puerco Chile Pasado,,Chicharrón Prensado,
,,-,bebida_desayuno,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,burrito_6,,Picadillo al Chipotle,,Res a la Mexicana,,Picadillo a la Plancha,,Picadillo al Chipotle,,Picadillo a la Plancha,
,,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,burrito_7,,Pollo en Mole,,Pollo en Mole,,Asado de Puerco,,Rajas con Queso y Crema,,Pollo en Mole,
,,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,burrito_8,,Bistec a la Mexicana,,PASTOR,,Milanesa,,RES AL ALBAÑIL,,PASTOR,
